"x","y","Ind"
3628500,2399500,63
3629500,2399500,6
3630500,2399500,3
3631500,2399500,11
3632500,2399500,14
3633500,2399500,8
3634500,2399500,4
3635500,2399500,45
3636500,2399500,25
3637500,2399500,66
3638500,2399500,36
3639500,2399500,2
3641500,2399500,4
3642500,2399500,5
3643500,2399500,31
3644500,2399500,23
3646500,2399500,7
3647500,2399500,5
3649500,2399500,18
3650500,2399500,7
3653500,2399500,23
3654500,2399500,59
3655500,2399500,6
3656500,2399500,1
3659500,2399500,2
3660500,2399500,1
3663500,2399500,8
3664500,2399500,6
3668500,2399500,5
3669500,2399500,22
3673500,2399500,12
3674500,2399500,110.5
3612500,2400500,5
3613500,2400500,10
3614500,2400500,2
3616500,2400500,10
3617500,2400500,16
3618500,2400500,16
3619500,2400500,89
3620500,2400500,191
3621500,2400500,10.5
3622500,2400500,3
3624500,2400500,4
3625500,2400500,2
3626500,2400500,4
3629500,2400500,9
3630500,2400500,13
3631500,2400500,4
3632500,2400500,1
3634500,2400500,11
3635500,2400500,70.5
3636500,2400500,164
3637500,2400500,8
3638500,2400500,12
3639500,2400500,60
3640500,2400500,73
3641500,2400500,19
3642500,2400500,27
3643500,2400500,36.5
3644500,2400500,146.5
3645500,2400500,27
3646500,2400500,15
3647500,2400500,50
3648500,2400500,24
3649500,2400500,20
3650500,2400500,3
3651500,2400500,41
3654500,2400500,28
3660500,2400500,8
3662500,2400500,2
3663500,2400500,12
3664500,2400500,3
3665500,2400500,146.5
3666500,2400500,53
3667500,2400500,19
3669500,2400500,12.5
3670500,2400500,2
3611500,2401500,4
3612500,2401500,10
3613500,2401500,12
3614500,2401500,4
3615500,2401500,15
3616500,2401500,3
3617500,2401500,7
3618500,2401500,4
3619500,2401500,20
3620500,2401500,13
3621500,2401500,23
3622500,2401500,103
3623500,2401500,2
3624500,2401500,11
3625500,2401500,17
3626500,2401500,4
3627500,2401500,1
3628500,2401500,12
3629500,2401500,9
3631500,2401500,44
3632500,2401500,23
3633500,2401500,32
3634500,2401500,11
3635500,2401500,9
3636500,2401500,116
3637500,2401500,6
3638500,2401500,9
3639500,2401500,162
3640500,2401500,73
3641500,2401500,152.5
3642500,2401500,41.5
3643500,2401500,18
3644500,2401500,12
3645500,2401500,77
3646500,2401500,27
3647500,2401500,79
3648500,2401500,3
3649500,2401500,20.5
3650500,2401500,7
3651500,2401500,61
3652500,2401500,16
3655500,2401500,32.5
3657500,2401500,5
3658500,2401500,4
3659500,2401500,3
3660500,2401500,2
3662500,2401500,1
3664500,2401500,20
3665500,2401500,330
3666500,2401500,19
3667500,2401500,5
3668500,2401500,15
3670500,2401500,15
3671500,2401500,6
3672500,2401500,86
3611500,2402500,14
3612500,2402500,15
3613500,2402500,13
3614500,2402500,19
3615500,2402500,9
3616500,2402500,4
3617500,2402500,50
3618500,2402500,8
3619500,2402500,16
3620500,2402500,4
3621500,2402500,19
3622500,2402500,25.5
3623500,2402500,22
3624500,2402500,14
3625500,2402500,79.5
3626500,2402500,14
3627500,2402500,9
3628500,2402500,7
3629500,2402500,4
3631500,2402500,26
3632500,2402500,50.5
3633500,2402500,24
3634500,2402500,10
3636500,2402500,16
3637500,2402500,79.5
3638500,2402500,73
3639500,2402500,199.5
3640500,2402500,61
3641500,2402500,36
3642500,2402500,47
3643500,2402500,10
3644500,2402500,1
3645500,2402500,12
3646500,2402500,9
3647500,2402500,125.5
3651500,2402500,64
3652500,2402500,5
3654500,2402500,18
3655500,2402500,168.5
3656500,2402500,42
3657500,2402500,2
3658500,2402500,10.5
3659500,2402500,3
3662500,2402500,69
3663500,2402500,16
3664500,2402500,36
3665500,2402500,22
3667500,2402500,20
3668500,2402500,1
3669500,2402500,7
3670500,2402500,34
3671500,2402500,19
3610500,2403500,2
3611500,2403500,9
3612500,2403500,1
3614500,2403500,8
3615500,2403500,8
3616500,2403500,21
3617500,2403500,13
3618500,2403500,6
3619500,2403500,2
3620500,2403500,4
3621500,2403500,4
3622500,2403500,9
3623500,2403500,45.5
3625500,2403500,35
3626500,2403500,1
3627500,2403500,11
3628500,2403500,18
3631500,2403500,3
3632500,2403500,25
3633500,2403500,30
3634500,2403500,11
3635500,2403500,189.5
3636500,2403500,101
3637500,2403500,18
3638500,2403500,17
3639500,2403500,7
3641500,2403500,26
3642500,2403500,84
3643500,2403500,29
3644500,2403500,4
3645500,2403500,6
3647500,2403500,47
3648500,2403500,54
3650500,2403500,33
3651500,2403500,38
3655500,2403500,35.5
3656500,2403500,23
3657500,2403500,1
3658500,2403500,6
3659500,2403500,4
3661500,2403500,10
3662500,2403500,17
3664500,2403500,7
3669500,2403500,11
3670500,2403500,92
3671500,2403500,49
3672500,2403500,5
3612500,2404500,1
3614500,2404500,2
3615500,2404500,2
3616500,2404500,11
3617500,2404500,7
3618500,2404500,2
3619500,2404500,16
3620500,2404500,2
3621500,2404500,3
3622500,2404500,1
3623500,2404500,28
3625500,2404500,11
3627500,2404500,4
3628500,2404500,23
3629500,2404500,87.5
3630500,2404500,12
3631500,2404500,17
3632500,2404500,10
3633500,2404500,55
3634500,2404500,65
3635500,2404500,35
3636500,2404500,77.5
3637500,2404500,138
3638500,2404500,52
3640500,2404500,7
3641500,2404500,50.5
3642500,2404500,1
3643500,2404500,50
3644500,2404500,136
3645500,2404500,1
3647500,2404500,51.5
3648500,2404500,124
3650500,2404500,17
3652500,2404500,13
3654500,2404500,26
3656500,2404500,10
3657500,2404500,10
3658500,2404500,8
3659500,2404500,5
3661500,2404500,1
3662500,2404500,5
3663500,2404500,25
3664500,2404500,2
3665500,2404500,7
3666500,2404500,10
3667500,2404500,2
3670500,2404500,4
3673500,2404500,5
3609500,2405500,14
3610500,2405500,16
3611500,2405500,7
3614500,2405500,4
3615500,2405500,8
3616500,2405500,10
3617500,2405500,13
3618500,2405500,2
3619500,2405500,6
3620500,2405500,11
3621500,2405500,37
3622500,2405500,3
3623500,2405500,2
3625500,2405500,9
3628500,2405500,2
3629500,2405500,11
3630500,2405500,23
3631500,2405500,7
3632500,2405500,64
3633500,2405500,23
3634500,2405500,18.5
3635500,2405500,18
3636500,2405500,24
3637500,2405500,3
3638500,2405500,39
3639500,2405500,4
3640500,2405500,12
3641500,2405500,66.5
3642500,2405500,170
3643500,2405500,86
3644500,2405500,95.5
3645500,2405500,2
3647500,2405500,70
3648500,2405500,41
3649500,2405500,2
3650500,2405500,23
3651500,2405500,13
3652500,2405500,19.5
3653500,2405500,36
3654500,2405500,23
3655500,2405500,8
3656500,2405500,3
3663500,2405500,4
3665500,2405500,1
3666500,2405500,14
3668500,2405500,19
3669500,2405500,1
3672500,2405500,7
3608500,2406500,4
3609500,2406500,7
3610500,2406500,5
3611500,2406500,23
3612500,2406500,7
3613500,2406500,11.5
3615500,2406500,5
3616500,2406500,2
3617500,2406500,2
3618500,2406500,22
3619500,2406500,2
3620500,2406500,3
3621500,2406500,8
3622500,2406500,9
3623500,2406500,12
3624500,2406500,2
3625500,2406500,31
3626500,2406500,12
3627500,2406500,38
3628500,2406500,57.5
3629500,2406500,3
3630500,2406500,4
3631500,2406500,32
3632500,2406500,119
3633500,2406500,63
3634500,2406500,167
3635500,2406500,48.5
3636500,2406500,44
3637500,2406500,137
3638500,2406500,114
3639500,2406500,31
3640500,2406500,38
3641500,2406500,38
3642500,2406500,81.5
